Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
monochromatisme | DOCTRINE / ÉTAT / PROFESSION  UNIQUE DE LA COULEUR | isme - mono - chromat |  - +chromo
monocomparateur | AGENT  UNIQUE AVEC À TRAVERS / DE PART EN PART / TERMINER / INTENSE | ateur - mono - com - par |  - ++
monocytodermie | PEAU  UNIQUE DE LA CELLULE | dermie - mono - cyto |  - +
monocytogène | GÉNÉRATEUR / ORIGINE  UNIQUE DE LA CELLULE | gène - mono - cyto | gène - +
monocytoïde | APPARENCE  UNIQUE DE LA CELLULE | ïde - mono - cyto |  - +
monocytopénie | PAUVRETÉ  UNIQUE DE LA CELLULE | pénie - mono - cyto |  - +
monocytopoïèse | CRÉATION  UNIQUE DE LA CELLULE | poïèse - mono - cyto | poïèse - +
monogéniste | ADEPTE / SPÉCIALISTE  UNIQUE DE LA RACE | iste - mono - gén |  - +gène
monométallique | À PROPOS  UNIQUE DU MÉTAL | ique - mono - métall |  - +
monométallisme | DOCTRINE / ÉTAT / PROFESSION  UNIQUE DU MÉTAL | isme - mono - métall |  - +
monométalliste | ADEPTE / SPÉCIALISTE  UNIQUE DU MÉTAL | iste - mono - métall |  - +
mononévrite | INFLAMMATION  UNIQUE DU NERF | ite - mono - névr |  - +
mononitration | ACTION  UNIQUE DU NITRE -> AZOTÉ(E) | ation - mono - nitr | ation - +
monopérigyne | FEMME / FEMELLE  UNIQUE AUTOUR | gyne - mono - péri | gyno - +péri
monoproducteur | QUI CONDUIT  UNIQUE DEVANT / EN FAVEUR DE / À LA PLACE DE | ducteur - mono - pro | duc - +
monoproductrice | QUI CONDUIT  UNIQUE DEVANT / EN FAVEUR DE / À LA PLACE DE | ductrice - mono - pro | duc - +
monoprogramme | ÉCRITURE  UNIQUE DEVANT / EN FAVEUR DE / À LA PLACE DE | gramme - mono - pro | gramma - +
monosaccharide | APPARENCE  UNIQUE DU SUCRE | ide - mono - sacchar | eidos - +saccharo
monosyllabe | PRISE  UNIQUE AVEC | labe - mono - syl |  - +syn
monotoxicomane | MANIAQUE  UNIQUE TOXIQUE | mane - mono - toxico | mane (mania) - +
monotoxicomanie | OBSESSION  UNIQUE TOXIQUE | manie - mono - toxico | mane (mania) - +
monotriglyphe | GRAVURE  UNIQUE TRIPLE | glyphe - mono - tri |  - +
morphochronologie | ÉTUDE  DE LA FORME DU TEMPS | logie - morpho - chrono | logo - morpho+chrono
morphochronologique | ÉTUDE  DE LA FORME DU TEMPS | logique - morpho - chrono | logo - morpho+chrono
morphoclimatologie | ÉTUDE  DE LA FORME DE L'INCLINAISON -> DU CLIMAT | logie - morpho - climato | logo - morpho+
morphophonologie | ÉTUDE  DE LA FORME DE LA VOIX | logie - morpho - phono | logo - morpho+
morphophonologique | ÉTUDE  DE LA FORME DE LA VOIX | logique - morpho - phono | logo - morpho+
morphopsychologie | ÉTUDE  DE LA FORME DE L'ÂME | logie - morpho - psycho | logo - morpho+
morphopsychologique | ÉTUDE  DE LA FORME DE L'ÂME | logique - morpho - psycho | logo - morpho+
multicentenaire | AGÉ(E)  PLUSIEURS DU CENTIÈME | enaire - multi - cent | enaire - +
multiconducteur | QUI CONDUIT  PLUSIEURS AVEC | ducteur - multi - con | duc - +
multiconductrice | QUI CONDUIT  PLUSIEURS AVEC | ductrice - multi - con | duc - +
multihomogène | GÉNÉRATEUR / ORIGINE  PLUSIEURS IDENTIQUE | gène - multi - homo | gène - +homos
multinévrite | INFLAMMATION  PLUSIEURS DU NERF | ite - multi - névr |  - +
multiprogramme | ÉCRITURE  PLUSIEURS DEVANT / EN FAVEUR DE / À LA PLACE DE | gramme - multi - pro | gramma - +
multiprotocole | CULTIVER / HABITER / RENDRE UN CULTE  PLUSIEURS PREMIER(ÈRE) | cole - multi - proto | cult - +
mycobactéricide | QUI TUE  DU CHAMPIGNON DE LA BACTÉRIE | cide - myco - bactéri |  - +
mycodermothérapie | MÉDECINE  DU CHAMPIGNON DE LA PEAU | thérapie - myco - dermo | thérapie - +
mycoplasmique | À PROPOS  DU CHAMPIGNON DE LA FORMATION | ique - myco - plasm |  - +plasmo
mycorhizateur | AGENT  DU CHAMPIGNON DE LA RACINE | ateur - myco - rhiz |  - +
mycorhization | ACTION  DU CHAMPIGNON DE LA RACINE | ation - myco - rhiz | ation - +
mycorhizatrice | AGENTE  DU CHAMPIGNON DE LA RACINE | atrice - myco - rhiz |  - +
mycotoxicologie | ÉTUDE  DU CHAMPIGNON TOXIQUE | logie - myco - toxico | logo - +
myélencéphalique | À PROPOS  DE LA MOELLE DU CERVEAU | ique - myél - encéphal |  - +
myéloblastique | À PROPOS  DE LA MOELLE DU GERME | ique - myélo - blast |  - +
myéloblastome | TUMEUR  DE LA MOELLE DU GERME | ome - myélo - blast |  - +
myélocystocèle | TUMEUR / HERNIE  DE LA MOELLE DE LA VESSIE -> DE LA VÉSICULE | cèle - myélo - cysto |  - +
myélodysplasie | FAÇONNEMENT  DE LA MOELLE DU TROUBLE | plasie - myélo - dys | plasmo - +
myélotoxique | À PROPOS  DE LA MOELLE TOXIQUE | ique - myélo - tox |  - +
myoblastique | À PROPOS  DE LA SOURIS -> DU MUSCLE DU GERME | ique - myo - blast |  - +
myoblastome | TUMEUR  DE LA SOURIS -> DU MUSCLE DU GERME | ome - myo - blast |  - +
myocardiopathie | MALADIE  DE LA SOURIS -> DU MUSCLE DU CŒUR | pathie - myo - cardio | patho (souffrance) - +
myocardique | À PROPOS  DE LA SOURIS -> DU MUSCLE DU CŒUR | ique - myo - card |  - +
myocardite | INFLAMMATION  DE LA SOURIS -> DU MUSCLE DU CŒUR | ite - myo - card |  - +
myochronoscope | VISIONNEUSE  DE LA SOURIS -> DU MUSCLE DU TEMPS | scope - myo - chrono | scope - +chrono
myodésopsie | VISION  DE LA SOURIS -> DU MUSCLE ENLEVER | opsie - myo - dés |  - +
myodystrophie | NOURRITURE / CROISSANCE  DE LA SOURIS -> DU MUSCLE DU TROUBLE | trophie - myo - dys | tropho - +
myospectroscope | VISIONNEUSE  DE LA SOURIS -> DU MUSCLE DU SPECTRE | scope - myo - spectro | scope - +
nanobiologie | ÉTUDE  NAIN(E) DE LA VIE | logie - nano - bio | logo - +bio
nanoélectronique | À PROPOS  NAIN(E) DE L'AMBRE -> DE L'ÉLECTRICITÉ | ique - nano - électron |  - +électricité
nanotechnologie | ÉTUDE  NAIN(E) DE LA TECHNIQUE | logie - nano - techno | logo - +
nanotechnologique | ÉTUDE  NAIN(E) DE LA TECHNIQUE | logique - nano - techno | logo - +
narcoanalyse | DÉCOMPOSITION  DU SOMMEIL / DE LA DROGUE DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - narco - ana |  - narco+
narcopsychanalyse | DÉCOMPOSITION  DU SOMMEIL / DE LA DROGUE DE L'ÂME DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - narco - psych - ana |  - narco++
nécrophilique | À PROPOS  DE LA MORT DE L'AMOUR | ique - nécro - phil |  - nécro+philo
néoantique | À PROPOS  NOUVEAU (-VELLE) CONTRE | ique - néo - ant |  - +anti
néoglucogenèse | CRÉATION  NOUVEAU (-VELLE) DU SUCRE | genèse - néo - gluco | gène - +gluco
néoglycogenèse | CRÉATION  NOUVEAU (-VELLE) DU SUCRE | genèse - néo - glyco | gène - +glyco
néolipogenèse | CRÉATION  NOUVEAU (-VELLE) DE LA GRAISSE | genèse - néo - lipo | gène - +lipo
néophilologie | ÉTUDE  NOUVEAU (-VELLE) DE L'AMOUR | logie - néo - philo | logo - +philo
néophilologique | ÉTUDE  NOUVEAU (-VELLE) DE L'AMOUR | logique - néo - philo | logo - +philo
néphroblastome | TUMEUR  DU REIN DU GERME | ome - néphro - blast |  - +
néphrocalcinose | MALADIE  DU REIN DU CALCIUM | nose - néphro - calci | noso - +
néphrolithotomie | DÉCOUPE  DU REIN DE LA PIERRE | tomie - néphro - litho | tomo - +litho
néphropathologie | ÉTUDE  DU REIN DE LA MALADIE | logie - néphro - patho | logo - +patho (souffrance)
néphrotomographie | ÉCRITURE  DU REIN DÉCOUPÉ(E) | graphie - néphro - tomo | grapho - +tomo
néphrotoxique | À PROPOS  DU REIN TOXIQUE | ique - néphro - tox |  - +
neurapraxie | ACTION  DES NERFS SANS | praxie - neur - a | praxie - +a
neuroanatomie | DÉCOUPE  DES NERFS DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | tomie - neuro - ana | tomo - +
neuroanatomique | DÉCOUPE  DES NERFS DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | tomique - neuro - ana | tomo - +
neurobiochimie | CHIMIE  DES NERFS DE LA VIE | chimie - neuro - bio | chimie - +bio
neurobiochimique | CHIMIQUE  DES NERFS DE LA VIE | chimique - neuro - bio | chimie - +bio
neurobiologie | ÉTUDE  DES NERFS DE LA VIE | logie - neuro - bio | logo - +bio
neurobiologique | ÉTUDE  DES NERFS DE LA VIE | logique - neuro - bio | logo - +bio
neurobiologiste | SPÉCIALISTE  DES NERFS DE LA VIE | logiste - neuro - bio | logo - +bio
neuroblastome | TUMEUR  DES NERFS DU GERME | ome - neuro - blast |  - +
neurocytologie | ÉTUDE  DES NERFS DE LA CELLULE | logie - neuro - cyto | logo - +
neurocytologique | ÉTUDE  DES NERFS DE LA CELLULE | logique - neuro - cyto | logo - +
neurodermite | INFLAMMATION  DES NERFS DE LA PEAU | ite - neuro - derm |  - +
neurodysleptique | ATTAQUE  DES NERFS DU TROUBLE | leptique - neuro - dys |  - +
neuroéconomie | LOI  DES NERFS DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomie - neuro - éco |  - +
neuroectodermique | PEAU  DES NERFS AU DEHORS | dermique - neuro - ecto |  - +
neuroendocrine | SÉCRÉTION  DES NERFS À L'INTÉRIEUR | crine - neuro - endo |  - +
neuroendocrinologie | ÉTUDE  DES NERFS À L'INTÉRIEUR DE LA SÉCRÉTION | logie - neuro - endo - crino | logo - ++
neuroendocrinologiste | SPÉCIALISTE  DES NERFS À L'INTÉRIEUR DE LA SÉCRÉTION | logiste - neuro - endo - crino | logo - ++
neuroendocrinologue | SPÉCIALISTE / DISCOURS  DES NERFS À L'INTÉRIEUR DE LA SÉCRÉTION | logue - neuro - endo - crino | logo - ++
neurogériatrie | MÉDECIN  DES NERFS DU VIEILLARD | iatrie - neuro - gér | iatre - +
neurohistologie | ÉTUDE  DES NERFS DE LA TRAME / DU TISSU | logie - neuro - histo | logo - +
neurohistologique | ÉTUDE  DES NERFS DE LA TRAME / DU TISSU | logique - neuro - histo | logo - +
neurohypophyse | PRODUCTION / CROISSANCE  DES NERFS INFÉRIEUR(E) | physe - neuro - hypo |  - +
neuroimmunologie | ÉTUDE  DES NERFS DE LA DÉFENSE | logie - neuro - immuno | logo - +
neuroleptanalgésie | DOULEUR  DES NERFS MINCE SANS | algésie - neuro - lept - an | algos - ++an
neuroleptanesthésie | SENSATION  DES NERFS MINCE SANS | esthésie - neuro - lept - an |  - ++an
neuromyélite | INFLAMMATION  DES NERFS DE LA MOELLE | ite - neuro - myél |  - +
neuromyélopathie | MALADIE  DES NERFS DE LA MOELLE | pathie - neuro - myélo | patho (souffrance) - +
neuromyopathie | MALADIE  DES NERFS DE LA SOURIS -> DU MUSCLE | pathie - neuro - myo | patho (souffrance) - +
neuromyosite | NOURRITURE  DES NERFS DE LA SOURIS -> DU MUSCLE | site - neuro - myo |  - +
neuropathologie | ÉTUDE  DES NERFS DE LA MALADIE | logie - neuro - patho | logo - +patho (souffrance)
neuropathologique | ÉTUDE  DES NERFS DE LA MALADIE | logique - neuro - patho | logo - +patho (souffrance)
neuropathologiste | SPÉCIALISTE  DES NERFS DE LA MALADIE | logiste - neuro - patho | logo - +patho (souffrance)
neuropédiatre | MÉDECIN  DES NERFS DE L'ENFANT | iatre - neuro - péd | iatre - +pédo (paidos)
neuropharmacologie | ÉTUDE  DES NERFS DU MÉDICAMENT | logie - neuro - pharmaco | logo - +
neuropharmacologique | ÉTUDE  DES NERFS DU MÉDICAMENT | logique - neuro - pharmaco | logo - +
neurophysiologie | ÉTUDE  DES NERFS DU CORPS | logie - neuro - physio | logo - +physio
neurophysiologique | ÉTUDE  DES NERFS DU CORPS | logique - neuro - physio | logo - +physio
neurophysiologiste | SPÉCIALISTE  DES NERFS DU CORPS | logiste - neuro - physio | logo - +physio
neuropsychiatre | MÉDECIN  DES NERFS DE L'ÂME | iatre - neuro - psych | iatre - +
neuropsychiatrie | MÉDECIN  DES NERFS DE L'ÂME | iatrie - neuro - psych | iatre - +
neuropsychique | À PROPOS  DES NERFS DE L'ÂME | ique - neuro - psych |  - +
neuropsychochimie | CHIMIE  DES NERFS DE L'ÂME | chimie - neuro - psycho | chimie - +
neuropsychogène | GÉNÉRATEUR / ORIGINE  DES NERFS DE L'ÂME | gène - neuro - psycho | gène - +
neuropsychologie | ÉTUDE  DES NERFS DE L'ÂME | logie - neuro - psycho | logo - +
neuropsychologique | ÉTUDE  DES NERFS DE L'ÂME | logique - neuro - psycho | logo - +
neuropsychologue | SPÉCIALISTE / DISCOURS  DES NERFS DE L'ÂME | logue - neuro - psycho | logo - +
neuropsychométrique | MESURAGE  DES NERFS DE L'ÂME | métrique - neuro - psycho | métro (métron) - +
neuropsychopharmacologie | ÉTUDE  DES NERFS DE L'ÂME DU MÉDICAMENT | logie - neuro - psycho - pharmaco | logo - ++
neuroradiologie | ÉTUDE  DES NERFS DU RAYONNEMENT | logie - neuro - radio | logo - +
neuroradiologique | ÉTUDE  DES NERFS DU RAYONNEMENT | logique - neuro - radio | logo - +
neurospongiome | TUMEUR  DES NERFS DE L'ÉPONGE | ome - neuro - spongi |  - +spongia
neurotachycardique | À PROPOS  DES NERFS RAPIDE DU CŒUR | ique - neuro - tachy - card |  - ++
neurotoxique | À PROPOS  DES NERFS TOXIQUE | ique - neuro - tox |  - +
névrodermite | INFLAMMATION  DU NERF DE LA PEAU | ite - névro - derm |  - +
névrohypnologie | ÉTUDE  DU NERF DU SOMMEIL -> DE L'HYPNOSE | logie - névro - hypno | logo - +
névroptéroïde | APPARENCE  DU NERF DE L'AILE | ïde - névro - ptéro |  - +
nitrocalcite | INFLAMMATION  DU NITRE -> AZOTÉ(E) DU CALCIUM | ite - nitro - calc |  - +
nucléocytoplasmique | À PROPOS  DU NOYAU DE LA CELLULE DE LA FORMATION | ique - nucléo - cyto - plasm |  - nucléo++plasmo
nucléoplasmique | À PROPOS  DU NOYAU DE LA FORMATION | ique - nucléo - plasm |  - nucléo+plasmo
nucléoprotéide | APPARENCE  DU NOYAU DE LA PROTÉINE | ide - nucléo - proté | eidos - nucléo+
nucléothermique | À PROPOS  DU NOYAU DE LA CHALEUR | ique - nucléo - therm |  - nucléo+thermo
octandrique | À PROPOS  HUIT DE L'HOMME / DU MALE | ique - oct - andr |  - octo:8+andro
octosyllabe | PRISE  HUIT AVEC | labe - octo - syl |  - octo:8+syn
odontaplasie | FAÇONNEMENT  DE LA DENT SANS | plasie - odont - a | plasmo - +a
odontoblastique | À PROPOS  DE LA DENT DU GERME | ique - odonto - blast |  - +
odontostomatologie | ÉTUDE  DE LA DENT DE LA BOUCHE | logie - odonto - stomato | logo - +
oligoanurie | URINE  PARCIMONIEUX (-EUSE) SANS | urie - oligo - an |  - +an
oligoarthrite | INFLAMMATION  PARCIMONIEUX (-EUSE) DE L'ARTICULATION | ite - oligo - arthr |  - +
oligoblastique | À PROPOS  PARCIMONIEUX (-EUSE) DU GERME | ique - oligo - blast |  - +
oligodendrocyte | CELLULE  PARCIMONIEUX (-EUSE) ARBORESCENT(E) | cyte - oligo - dendro |  - +dendron
oligoménorrhée | ÉCOULEMENT  PARCIMONIEUX (-EUSE) MENSUEL(LE) -> PÉRIODIQUE | rrhée - oligo - méno |  - +
oligométallique | À PROPOS  PARCIMONIEUX (-EUSE) DU MÉTAL | ique - oligo - métall |  - +
oligonéoptère | AILE  PARCIMONIEUX (-EUSE) NOUVEAU (-VELLE) | ptère - oligo - néo |  - +
oligosaccharide | APPARENCE  PARCIMONIEUX (-EUSE) DU SUCRE | ide - oligo - sacchar | eidos - +saccharo
oligosidérémie | SANG  PARCIMONIEUX (-EUSE) DU FER | émie - oligo - sidér |  - +sidéro
oligozoospermie | SEMENCE  PARCIMONIEUX (-EUSE) DE L'ANIMAL | spermie - oligo - zoo |  - +
oligurique | À PROPOS  PARCIMONIEUX (-EUSE) DE L'URINE | ique - olig - ur |  - +
ophtalmodynamographie | ÉCRITURE  DE L'OEIL DE LA FORCE | graphie - ophtalmo - dynamo | grapho - ophtalmo+dyne
ophtalmodynamomètre | MESUREUR  DE L'OEIL DE LA FORCE | mètre - ophtalmo - dynamo | métro (métron) - ophtalmo+dyne
ophtalmodynamométrie | MESURE  DE L'OEIL DE LA FORCE | métrie - ophtalmo - dynamo | métro (métron) - ophtalmo+dyne
ophtalmomycétide | APPARENCE  DE L'OEIL DU CHAMPIGNON | ide - ophtalmo - mycét | eidos - ophtalmo+
optoélectronique | À PROPOS  DE LA VISION DE L'AMBRE -> DE L'ÉLECTRICITÉ | ique - opto - électron |  - +électricité
optométriste | ADEPTE / SPÉCIALISTE  DE LA VISION DE LA MESURE | iste - opto - métr |  - +métro (métron)
orchidodystrophie | NOURRITURE / CROISSANCE  DES TESTICULES DU TROUBLE | trophie - orchido - dys | tropho - +
organoaluminique | LUMIÈRE  DE L'ORGANE SANS | luminique - organo - a | lumen - +a
organodysplasie | FAÇONNEMENT  DE L'ORGANE DU TROUBLE | plasie - organo - dys | plasmo - +
organozoonomie | LOI  DE L'ORGANE DE L'ANIMAL | nomie - organo - zoo |  - +
orohydrographie | ÉCRITURE  DE LA MONTAGNE DE L'EAU | graphie - oro - hydro | grapho - oro (oros)+hydro
orthoacétique | À PROPOS  DROIT(E) DE L'ACIDE ACÉTIQUE | ique - ortho - acét |  - +
orthoacide | QUI TUE  DROIT(E) SANS | cide - ortho - a |  - +a
orthochromatique | À PROPOS  DROIT(E) DE LA COULEUR | ique - ortho - chromat |  - +chromo
orthochromatisme | DOCTRINE / ÉTAT / PROFESSION  DROIT(E) DE LA COULEUR | isme - ortho - chromat |  - +chromo
orthodiagramme | ÉCRITURE  DROIT(E) À TRAVERS | gramme - ortho - dia | gramma - +
orthodiagraphie | ÉCRITURE  DROIT(E) À TRAVERS | graphie - ortho - dia | grapho - +
orthodiascopie | EXAMEN  DROIT(E) À TRAVERS | scopie - ortho - dia | scope - +
orthodontique | À PROPOS  DROIT(E) DE LA DENT | ique - orth(o) - odont |  - +
orthodontiste | ADEPTE / SPÉCIALISTE  DROIT(E) DE LA DENT | iste - orth(o) - odont |  - +
orthographiste | ADEPTE / SPÉCIALISTE  DROIT(E) DE L'ÉCRITURE | iste - ortho - graph |  - +grapho
orthohydrogène | GÉNÉRATEUR / ORIGINE  DROIT(E) DE L'EAU | gène - ortho - hydro | gène - +hydro
orthopédagogie | GUIDAGE  DROIT(E) DE L'ENFANT | agogie - ortho - péd | agogie : guider - +pédo (paidos)
orthopédagogique | GUIDAGE  DROIT(E) DE L'ENFANT | agogique - ortho - péd | agogie : guider - +pédo (paidos)
orthopédagogue | MENEUR  DROIT(E) DE L'ENFANT | agogue - ortho - péd | agogie : guider - +pédo (paidos)
orthopédique | À PROPOS  DROIT(E) DE L'ENFANT | ique - ortho - péd |  - +pédo (paidos)
orthopédiste | ADEPTE / SPÉCIALISTE  DROIT(E) DE L'ENFANT | iste - ortho - péd |  - +pédo (paidos)
orthophoniste | ADEPTE / SPÉCIALISTE  DROIT(E) DE LA VOIX | iste - ortho - phon |  - +
orthophotographie | ÉCRITURE  DROIT(E) DE LA LUMIÈRE | graphie - ortho - photo | grapho - +
orthophrénopédie | PIED  DROIT(E) DE L'ESPRIT | pédie - ortho - phréno |  - +
orthopsychopédie | PIED  DROIT(E) DE L'ÂME | pédie - ortho - psycho |  - +
orthoptéroïde | APPARENCE  DROIT(E) DE L'AILE | ïde - ortho - ptéro |  - +
orthopyroxène | HÔTE  DROIT(E) DU FEU | xène - ortho - pyro | xéno - +
orthosympathique | MALADIE  DROIT(E) AVEC | pathique - ortho - sym | patho (souffrance) - +syn
orthotypographie | ÉCRITURE  DROIT(E) DE L'EMPREINTE | graphie - ortho - typo | grapho - +
orthotypographique | ÉCRITURE  DROIT(E) DE L'EMPREINTE | graphique - ortho - typo | grapho - +
ostéoarthrite | INFLAMMATION  DE L'OS DE L'ARTICULATION | ite - ostéo - arthr |  - +
ostéoblastique | À PROPOS  DE L'OS DU GERME | ique - ostéo - blast |  - +
ostéoblastome | TUMEUR  DE L'OS DU GERME | ome - ostéo - blast |  - +
ostéochondrodysplasie | FAÇONNEMENT  DE L'OS DU CARTILAGE DU TROUBLE | plasie - ostéo - chondro - dys | plasmo - ++
ostéochondrodystrophie | NOURRITURE / CROISSANCE  DE L'OS DU CARTILAGE DU TROUBLE | trophie - ostéo - chondro - dys | tropho - ++
ostéodensitométrie | MESURE  DE L'OS DENSE | métrie - ostéo - densito | métro (métron) - +
ostéodermopathie | MALADIE  DE L'OS DE LA PEAU | pathie - ostéo - dermo | patho (souffrance) - +
ostéodysplasie | FAÇONNEMENT  DE L'OS DU TROUBLE | plasie - ostéo - dys | plasmo - +
ostéodysplastie | FAÇONNEMENT  DE L'OS DU TROUBLE | plastie - ostéo - dys | plasmo - +
ostéodystrophie | NOURRITURE / CROISSANCE  DE L'OS DU TROUBLE | trophie - ostéo - dys | tropho - +
ostéomyélite | INFLAMMATION  DE L'OS DE LA MOELLE | ite - ostéo - myél |  - +
ostéomyélome | TUMEUR  DE L'OS DE LA MOELLE | ome - ostéo - myél |  - +
ostéonévralgie | DOULEUR  DE L'OS DU NERF | algie - ostéo - névr | algos - +
ostéoradionécrose | MORT  DE L'OS DU RAYONNEMENT | nécrose - ostéo - radio | nécro - +
oviparisme | DOCTRINE / ÉTAT / PROFESSION  DE L'OEUF À TRAVERS / DE PART EN PART / TERMINER / INTENSE | isme - ovi - par |  - ovum+
oxyacide | QUI TUE  AIGU(E) -> DE L'OXYGÈNE SANS | cide - oxy - a |  - oxy : aigu+a
oxycarbonémie | LE SANG  AIGU(E) -> DE L'OXYGÈNE DU CHARBON | némie - oxy - carbo |  - oxy : aigu+carbo
oxychlorique | À PROPOS  AIGU(E) -> DE L'OXYGÈNE CHLORÉ(E) | ique - oxy - chlor |  - oxy : aigu+chloro : chlore
oxycytochrome | COULEUR  AIGU(E) -> DE L'OXYGÈNE DE LA CELLULE | chrome - oxy - cyto | chromo - oxy : aigu+
oxydimétrie | MESURE  AIGU(E) -> DE L'OXYGÈNE DOUBLE | métrie - oxy - di | métro (métron) - oxy : aigu+di
oxygénable | QUI PEUT ÊTRE  AIGU(E) -> DE L'OXYGÈNE DE LA RACE | able - oxy - gén |  - oxy : aigu+gène
oxygénateur | AGENT  AIGU(E) -> DE L'OXYGÈNE DE LA RACE | ateur - oxy - gén |  - oxy : aigu+gène
oxygénation | ACTION  AIGU(E) -> DE L'OXYGÈNE DE LA RACE | ation - oxy - gén | ation - oxy : aigu+gène
oxyphilique | À PROPOS  AIGU(E) -> DE L'OXYGÈNE DE L'AMOUR | ique - oxy - phil |  - oxy : aigu+philo
pachydermatocèle | TUMEUR / HERNIE  ÉPAIS (ÉPAISSE) DE LA PEAU | cèle - pachy - dermato |  - +
